time flux flux_rms
-199.9584573924468 0.0 0.005
-199.87537217734038 0.0 0.005
-199.792286962234 0.0 0.005
-199.70920174712757 0.0 0.005
-199.62611653202117 0.0 0.005
-199.54303131691478 0.0 0.005
-199.45994610180836 0.0 0.005
-199.37686088670196 0.0 0.005
-199.29377567159557 0.0 0.005
-199.21069045648915 0.0 0.005
-199.12760524138275 0.0 0.005
-199.04452002627636 0.0 0.005
-198.96143481116994 0.0 0.005
-198.87834959606354 0.0 0.005
-198.79526438095712 0.0 0.005
-198.71217916585073 0.0 0.005
-198.62909395074433 0.0 0.005
-198.5460087356379 0.0 0.005
-198.46292352053152 0.0 0.005
-198.37983830542512 0.0 0.005
-198.2967530903187 0.0 0.005
-198.2136678752123 0.0 0.005
-198.13058266010592 0.0 0.005
-198.0474974449995 0.0 0.005
-197.9644122298931 0.0 0.005
-197.8813270147867 0.0 0.005
-197.79824179968028 0.0 0.005
-197.7151565845739 0.0 0.005
-197.63207136946747 0.0 0.005
-197.54898615436107 0.0 0.005
-197.46590093925468 0.0 0.005
-197.38281572414826 0.0 0.005
-197.29973050904186 0.0 0.005
-197.21664529393547 0.0 0.005
-197.13356007882905 0.0 0.005
-197.05047486372266 0.0 0.005
-196.96738964861626 0.0 0.005
-196.88430443350984 0.0 0.005
-196.80121921840345 0.0 0.005
-196.71813400329702 0.0 0.005
-196.63504878819063 0.0 0.005
-196.55196357308424 0.0 0.005
-196.46887835797781 0.0 0.005
-196.38579314287142 0.0 0.005
-196.30270792776503 0.0 0.005
-196.2196227126586 0.0 0.005
-196.1365374975522 0.0 0.005
-196.05345228244582 0.0 0.005
-195.9703670673394 0.0 0.005
-195.887281852233 0.0 0.005
-195.8041966371266 0.0 0.005
-195.7211114220202 0.0 0.005
-195.6380262069138 0.0 0.005
-195.55494099180737 0.0 0.005
-195.47185577670098 0.0 0.005
-195.38877056159458 0.0 0.005
-195.30568534648816 0.0 0.005
-195.22260013138177 0.0 0.005
-195.13951491627537 0.0 0.005
-195.05642970116895 0.0 0.005
-194.97334448606256 0.0 0.005
-194.89025927095616 0.0 0.005
-194.80717405584974 0.0 0.005
-194.72408884074335 0.0 0.005
-194.64100362563693 0.0 0.005
-194.55791841053053 0.0 0.005
-194.47483319542414 0.0 0.005
-194.39174798031772 0.0 0.005
-194.30866276521132 0.0 0.005
-194.22557755010493 0.0 0.005
-194.1424923349985 0.0 0.005
-194.05940711989211 0.0 0.005
-193.97632190478572 0.0 0.005
-193.8932366896793 0.0 0.005
-193.8101514745729 0.0 0.005
-193.7270662594665 0.0 0.005
-193.6439810443601 0.0 0.005
-193.5608958292537 0.0 0.005
-193.47781061414727 0.0 0.005
-193.39472539904088 0.0 0.005
-193.3116401839345 0.0 0.005
-193.22855496882806 0.0 0.005
-193.14546975372167 0.0 0.005
-193.06238453861528 0.0 0.005
-192.97929932350885 0.0 0.005
-192.89621410840246 0.0 0.005
-192.81312889329607 0.0 0.005
-192.73004367818965 0.0 0.005
-192.64695846308325 0.0 0.005
-192.56387324797686 0.0 0.005
-192.48078803287044 0.0 0.005
-192.39770281776404 0.0 0.005
-192.31461760265762 0.0 0.005
-192.23153238755123 0.0 0.005
-192.14844717244483 0.0 0.005
-192.0653619573384 0.0 0.005
-191.98227674223202 0.0 0.005
-191.89919152712562 0.0 0.005
-191.8161063120192 0.0 0.005
-191.7330210969128 0.0 0.005
-191.6499358818064 0.0 0.005
-191.5668506667 0.0 0.005
-191.4837654515936 0.0 0.005
-191.40068023648718 0.0 0.005
-191.31759502138078 0.0 0.005
-191.2345098062744 0.0 0.005
-191.15142459116797 0.0 0.005
-191.06833937606157 0.0 0.005
-190.98525416095518 0.0 0.005
-190.90216894584876 0.0 0.005
-190.81908373074236 0.0 0.005
-190.73599851563597 0.0 0.005
-190.65291330052955 0.0 0.005
-190.56982808542315 0.0 0.005
-190.48674287031676 0.0 0.005
-190.40365765521034 0.0 0.005
-190.32057244010394 0.0 0.005
-190.23748722499752 0.0 0.005
-190.15440200989113 0.0 0.005
-190.07131679478474 0.0 0.005
-189.9882315796783 0.0 0.005
-189.90514636457192 0.0 0.005
-189.82206114946553 0.0 0.005
-189.7389759343591 0.0 0.005
-189.6558907192527 0.0 0.005
-189.57280550414632 0.0 0.005
-189.4897202890399 0.0 0.005
-189.4066350739335 0.0 0.005
-189.32354985882708 0.0 0.005
-189.24046464372068 0.0 0.005
-189.1573794286143 0.0 0.005
-189.07429421350787 0.0 0.005
-188.99120899840148 0.0 0.005
-188.90812378329508 0.0 0.005
-188.82503856818866 0.0 0.005
-188.74195335308227 0.0 0.005
-188.65886813797587 0.0 0.005
-188.57578292286945 0.0 0.005
-188.49269770776306 0.0 0.005
-188.40961249265666 0.0 0.005
-188.32652727755024 0.0 0.005
-188.24344206244385 0.0 0.005
-188.16035684733743 0.0 0.005
-188.07727163223103 0.0 0.005
-187.99418641712464 0.0 0.005
-187.91110120201822 0.0 0.005
-187.82801598691182 0.0 0.005
-187.74493077180543 0.0 0.005
-187.661845556699 0.0 0.005
-187.5787603415926 0.0 0.005
-187.49567512648622 0.0 0.005
-187.4125899113798 0.0 0.005
-187.3295046962734 0.0 0.005
-187.24641948116698 0.0 0.005
-187.1633342660606 0.0 0.005
-187.0802490509542 0.0 0.005
-186.99716383584777 0.0 0.005
-186.91407862074138 0.0 0.005
-186.83099340563498 0.0 0.005
-186.74790819052856 0.0 0.005
-186.66482297542217 0.0 0.005
-186.58173776031578 0.0 0.005
-186.49865254520935 0.0 0.005
-186.41556733010296 0.0 0.005
-186.33248211499657 0.0 0.005
-186.24939689989014 0.0 0.005
-186.16631168478375 0.0 0.005
-186.08322646967733 0.0 0.005
-186.00014125457093 0.0 0.005
-185.91705603946454 0.0 0.005
-185.83397082435812 0.0 0.005
-185.75088560925172 0.0 0.005
-185.66780039414533 0.0 0.005
-185.5847151790389 0.0 0.005
-185.50162996393252 0.0 0.005
-185.41854474882612 0.0 0.005
-185.3354595337197 0.0 0.005
-185.2523743186133 0.0 0.005
-185.16928910350688 0.0 0.005
-185.0862038884005 0.0 0.005
-185.0031186732941 0.0 0.005
-184.92003345818767 0.0 0.005
-184.83694824308128 0.0 0.005
-184.7538630279749 0.0 0.005
-184.67077781286847 0.0 0.005
-184.58769259776207 0.0 0.005
-184.50460738265568 0.0 0.005
-184.42152216754926 0.0 0.005
-184.33843695244286 0.0 0.005
-184.25535173733647 0.0 0.005
-184.17226652223005 0.0 0.005
-184.08918130712365 0.0 0.005
-184.00609609201723 0.0 0.005
-183.92301087691084 0.0 0.005
-183.83992566180444 0.0 0.005
-183.75684044669802 0.0 0.005
-183.67375523159163 0.0 0.005
-183.59067001648523 0.0 0.005
-183.5075848013788 0.0 0.005
-183.42449958627242 0.0 0.005
-183.34141437116602 0.0 0.005
-183.2583291560596 0.0 0.005
-183.1752439409532 0.0 0.005
-183.0921587258468 0.0 0.005
-183.0090735107404 0.0 0.005
-182.925988295634 0.0 0.005
-182.84290308052758 0.0 0.005
-182.75981786542118 0.0 0.005
-182.6767326503148 0.0 0.005
-182.59364743520837 0.0 0.005
-182.51056222010197 0.0 0.005
-182.42747700499558 0.0 0.005
-182.34439178988916 0.0 0.005
-182.26130657478276 0.0 0.005
-182.17822135967637 0.0 0.005
-182.09513614456995 0.0 0.005
-182.01205092946356 0.0 0.005
-181.92896571435713 0.0 0.005
-181.84588049925074 0.0 0.005
-181.76279528414435 0.0 0.005
-181.67971006903792 0.0 0.005
-181.59662485393153 0.0 0.005
-181.51353963882514 0.0 0.005
-181.43045442371871 0.0 0.005
-181.34736920861232 0.0 0.005
-181.26428399350593 0.0 0.005
-181.1811987783995 0.0 0.005
-181.0981135632931 0.0 0.005
-181.0150283481867 0.0 0.005
-180.9319431330803 0.0 0.005
-180.8488579179739 0.0 0.005
-180.76577270286748 0.0 0.005
-180.6826874877611 0.0 0.005
-180.5996022726547 0.0 0.005
-180.51651705754827 0.0 0.005
-180.43343184244188 0.0 0.005
-180.35034662733548 0.0 0.005
-180.26726141222906 0.0 0.005
-180.18417619712267 0.0 0.005
-180.10109098201627 0.0 0.005
-180.01800576690985 0.0 0.005
-179.93492055180346 0.0 0.005
-179.85183533669704 0.0 0.005
-179.76875012159064 0.0 0.005
-179.68566490648425 0.0 0.005
-179.60257969137783 0.0 0.005
-179.51949447627143 0.0 0.005
-179.43640926116504 0.0 0.005
-179.35332404605862 0.0 0.005
-179.27023883095222 0.0 0.005
-179.18715361584583 0.0 0.005
-179.1040684007394 0.0 0.005
-179.020983185633 0.0 0.005
-178.9378979705266 0.0 0.005
-178.8548127554202 0.0 0.005
-178.7717275403138 0.0 0.005
-178.68864232520738 0.0 0.005
-178.605557110101 0.0 0.005
-178.5224718949946 0.0 0.005
-178.43938667988817 0.0 0.005
-178.35630146478178 0.0 0.005
-178.2732162496754 0.0 0.005
-178.19013103456896 0.0 0.005
-178.10704581946257 0.0 0.005
-178.02396060435618 0.0 0.005
-177.94087538924975 0.0 0.005
-177.85779017414336 0.0 0.005
-177.77470495903694 0.0 0.005
-177.69161974393054 0.0 0.005
-177.60853452882415 0.0 0.005
-177.52544931371773 0.0 0.005
-177.44236409861134 0.0 0.005
-177.35927888350494 0.0 0.005
-177.27619366839852 0.0 0.005
-177.19310845329213 0.0 0.005
-177.11002323818573 0.0 0.005
-177.0269380230793 0.0 0.005
-176.94385280797292 0.0 0.005
-176.8607675928665 0.0 0.005
-176.7776823777601 0.0 0.005
-176.6945971626537 0.0 0.005
-176.61151194754729 0.0 0.005
-176.5284267324409 0.0 0.005
-176.4453415173345 0.0 0.005
-176.36225630222808 0.0 0.005
-176.27917108712168 0.0 0.005
-176.1960858720153 0.0 0.005
-176.11300065690887 0.0 0.005
-176.02991544180247 0.0 0.005
-175.94683022669608 0.0 0.005
-175.86374501158966 0.0 0.005
-175.78065979648326 0.0 0.005
-175.69757458137684 0.0 0.005
-175.61448936627045 0.0 0.005
-175.53140415116405 0.0 0.005
-175.44831893605763 0.0 0.005
-175.36523372095124 0.0 0.005
-175.28214850584484 0.0 0.005
-175.19906329073842 0.0 0.005
-175.11597807563203 0.0 0.005
-175.03289286052564 0.0 0.005
-174.9498076454192 0.0 0.005
-174.86672243031282 0.0 0.005
-174.7836372152064 0.0 0.005
-174.7005520001 0.0 0.005
-174.6174667849936 0.0 0.005
-174.5343815698872 0.0 0.005
-174.4512963547808 0.0 0.005
-174.3682111396744 0.0 0.005
-174.28512592456798 0.0 0.005
-174.20204070946158 0.0 0.005
-174.1189554943552 0.0 0.005
-174.03587027924877 0.0 0.005
-173.95278506414238 0.0 0.005
-173.86969984903598 0.0 0.005
-173.78661463392956 0.0 0.005
-173.70352941882317 0.0 0.005
-173.62044420371674 0.0 0.005
-173.53735898861035 0.0 0.005
-173.45427377350396 0.0 0.005
-173.37118855839753 0.0 0.005
-173.28810334329114 0.0 0.005
-173.20501812818475 0.0 0.005
-173.12193291307833 0.0 0.005
-173.03884769797193 0.0 0.005
-172.95576248286554 0.0 0.005
-172.87267726775912 0.0 0.005
-172.78959205265272 0.0 0.005
-172.7065068375463 0.0 0.005
-172.6234216224399 0.0 0.005
-172.5403364073335 0.0 0.005
-172.4572511922271 0.0 0.005
-172.3741659771207 0.0 0.005
-172.2910807620143 0.0 0.005
-172.20799554690788 0.0 0.005
-172.1249103318015 0.0 0.005
-172.0418251166951 0.0 0.005
-171.95873990158867 0.0 0.005
-171.87565468648228 0.0 0.005
-171.79256947137588 0.0 0.005
-171.70948425626946 0.0 0.005
-171.62639904116307 0.0 0.005
-171.54331382605665 0.0 0.005
-171.46022861095025 0.0 0.005
-171.37714339584386 0.0 0.005
-171.29405818073744 0.0 0.005
-171.21097296563104 0.0 0.005
-171.12788775052465 0.0 0.005
-171.04480253541823 0.0 0.005
-170.96171732031183 0.0 0.005
-170.87863210520544 0.0 0.005
-170.79554689009902 0.0 0.005
-170.71246167499262 0.0 0.005
-170.6293764598862 0.0 0.005
-170.5462912447798 0.0 0.005
-170.46320602967342 0.0 0.005
-170.380120814567 0.0 0.005
-170.2970355994606 0.0 0.005
-170.2139503843542 0.0 0.005
-170.13086516924778 0.0 0.005
-170.0477799541414 0.0 0.005
-169.964694739035 0.0 0.005
-169.88160952392857 0.0 0.005
-169.79852430882218 0.0 0.005
-169.7154390937158 0.0 0.005
-169.63235387860936 0.0 0.005
-169.54926866350297 0.0 0.005
-169.46618344839655 0.0 0.005
-169.38309823329016 0.0 0.005
-169.30001301818376 0.0 0.005
-169.21692780307734 0.0 0.005
-169.13384258797095 0.0 0.005
-169.05075737286455 0.0 0.005
-168.96767215775813 0.0 0.005
-168.88458694265174 0.0 0.005
-168.80150172754534 0.0 0.005
-168.71841651243892 0.0 0.005
-168.63533129733253 0.0 0.005
-168.55224608222613 0.0 0.005
-168.4691608671197 0.0 0.005
-168.38607565201332 0.0 0.005
-168.3029904369069 0.0 0.005
-168.2199052218005 0.0 0.005
-168.1368200066941 0.0 0.005
-168.0537347915877 0.0 0.005
-167.9706495764813 0.0 0.005
-167.8875643613749 0.0 0.005
-167.80447914626848 0.0 0.005
-167.72139393116208 0.0 0.005
-167.6383087160557 0.0 0.005
-167.55522350094927 0.0 0.005
-167.47213828584287 0.0 0.005
-167.38905307073645 0.0 0.005
-167.30596785563006 0.0 0.005
-167.22288264052366 0.0 0.005
-167.13979742541724 0.0 0.005
-167.05671221031085 0.0 0.005
-166.97362699520446 0.0 0.005
-166.89054178009803 0.0 0.005
-166.80745656499164 0.0 0.005
-166.72437134988525 0.0 0.005
-166.64128613477882 0.0 0.005
-166.55820091967243 0.0 0.005
-166.47511570456604 0.0 0.005
-166.39203048945961 0.0 0.005
-166.30894527435322 0.0 0.005
-166.2258600592468 0.0 0.005
-166.1427748441404 0.0 0.005
-166.059689629034 0.0 0.005
-165.9766044139276 0.0 0.005
-165.8935191988212 0.0 0.005
-165.8104339837148 0.0 0.005
-165.72734876860838 0.0 0.005
-165.644263553502 0.0 0.005
-165.5611783383956 0.0 0.005
-165.47809312328917 0.0 0.005
-165.39500790818278 0.0 0.005
-165.31192269307635 0.0 0.005
-165.22883747796996 0.0 0.005
-165.14575226286357 0.0 0.005
-165.06266704775715 0.0 0.005
-164.97958183265075 0.0 0.005
-164.89649661754436 0.0 0.005
-164.81341140243794 0.0 0.005
-164.73032618733154 0.0 0.005
-164.64724097222515 0.0 0.005
-164.56415575711873 0.0 0.005
-164.48107054201233 0.0 0.005
-164.39798532690594 0.0 0.005
-164.31490011179952 0.0 0.005
-164.23181489669312 0.0 0.005
-164.1487296815867 0.0 0.005
-164.0656444664803 0.0 0.005
-163.9825592513739 0.0 0.005
-163.8994740362675 0.0 0.005
-163.8163888211611 0.0 0.005
-163.7333036060547 0.0 0.005
-163.65021839094828 0.0 0.005
-163.5671331758419 0.0 0.005
-163.4840479607355 0.0 0.005
-163.40096274562907 0.0 0.005
-163.31787753052268 0.0 0.005
-163.23479231541626 0.0 0.005
-163.15170710030986 0.0 0.005
-163.06862188520347 0.0 0.005
-162.98553667009705 0.0 0.005
-162.90245145499065 0.0 0.005
-162.81936623988426 0.0 0.005
-162.73628102477784 0.0 0.005
-162.65319580967144 0.0 0.005
-162.57011059456505 0.0 0.005
-162.48702537945863 0.0 0.005
-162.40394016435224 0.0 0.005
-162.32085494924584 0.0 0.005
-162.23776973413942 0.0 0.005
-162.15468451903303 0.0 0.005
-162.0715993039266 0.0 0.005
-161.9885140888202 0.0 0.005
-161.90542887371382 0.0 0.005
-161.8223436586074 0.0 0.005
-161.739258443501 0.0 0.005
-161.6561732283946 0.0 0.005
-161.57308801328819 0.0 0.005
-161.4900027981818 0.0 0.005
-161.4069175830754 0.0 0.005
-161.32383236796898 0.0 0.005
-161.24074715286258 0.0 0.005
-161.15766193775616 0.0 0.005
-161.07457672264977 0.0 0.005
-160.99149150754337 0.0 0.005
-160.90840629243695 0.0 0.005
-160.82532107733056 0.0 0.005
-160.74223586222416 0.0 0.005
-160.65915064711774 0.0 0.005
-160.57606543201135 0.0 0.005
-160.49298021690495 0.0 0.005
-160.40989500179853 0.0 0.005
-160.32680978669214 0.0 0.005
-160.24372457158574 0.0 0.005
-160.16063935647932 0.0 0.005
-160.07755414137293 0.0 0.005
-159.9944689262665 0.0 0.005
-159.9113837111601 0.0 0.005
-159.82829849605372 0.0 0.005
-159.7452132809473 0.0 0.005
-159.6621280658409 0.0 0.005
-159.5790428507345 0.0 0.005
-159.4959576356281 0.0 0.005
-159.4128724205217 0.0 0.005
-159.3297872054153 0.0 0.005
-159.24670199030888 0.0 0.005
-159.16361677520248 0.0 0.005
-159.08053156009606 0.0 0.005
-158.99744634498967 0.0 0.005
-158.91436112988328 0.0 0.005
-158.83127591477685 0.0 0.005
-158.74819069967046 0.0 0.005
-158.66510548456407 0.0 0.005
-158.58202026945764 0.0 0.005
-158.49893505435125 0.0 0.005
-158.41584983924486 0.0 0.005
-158.33276462413843 0.0 0.005
-158.24967940903204 0.0 0.005
-158.16659419392565 0.0 0.005
-158.08350897881922 0.0 0.005
-158.00042376371283 0.0 0.005
-157.9173385486064 0.0 0.005
-157.83425333350002 0.0 0.005
-157.75116811839362 0.0 0.005
-157.6680829032872 0.0 0.005
-157.5849976881808 0.0 0.005
-157.5019124730744 0.0 0.005
-157.418827257968 0.0 0.005
-157.3357420428616 0.0 0.005
-157.2526568277552 0.0 0.005
-157.16957161264878 0.0 0.005
-157.0864863975424 0.0 0.005
-157.00340118243597 0.0 0.005
-156.92031596732957 0.0 0.005
-156.83723075222318 0.0 0.005
-156.75414553711676 0.0 0.005
-156.67106032201036 0.0 0.005
-156.58797510690397 0.0 0.005
-156.50488989179755 0.0 0.005
-156.42180467669115 0.0 0.005
-156.33871946158476 0.0 0.005
-156.25563424647834 0.0 0.005
-156.17254903137194 0.0 0.005
-156.08946381626555 0.0 0.005
-156.00637860115913 0.0 0.005
-155.92329338605273 0.0 0.005
-155.8402081709463 0.0 0.005
-155.75712295583992 0.0 0.005
-155.67403774073352 0.0 0.005
-155.5909525256271 0.0 0.005
-155.5078673105207 0.0 0.005
-155.42478209541432 0.0 0.005
-155.3416968803079 0.0 0.005
-155.2586116652015 0.0 0.005
-155.1755264500951 0.0 0.005
-155.09244123498868 0.0 0.005
-155.0093560198823 0.0 0.005
-154.92627080477587 0.0 0.005
-154.84318558966947 0.0 0.005
-154.76010037456308 0.0 0.005
-154.67701515945666 0.0 0.005
-154.59392994435026 0.0 0.005
-154.51084472924387 0.0 0.005
-154.42775951413745 0.0 0.005
-154.34467429903106 0.0 0.005
-154.26158908392466 0.0 0.005
-154.17850386881824 0.0 0.005
-154.09541865371185 0.0 0.005
-154.01233343860545 0.0 0.005
-153.92924822349903 0.0 0.005
-153.84616300839264 0.0 0.005
-153.76307779328621 0.0 0.005
-153.67999257817982 0.0 0.005
-153.59690736307343 0.0 0.005
-153.513822147967 0.0 0.005
-153.4307369328606 0.0 0.005
-153.34765171775422 0.0 0.005
-153.2645665026478 0.0 0.005
-153.1814812875414 0.0 0.005
-153.098396072435 0.0 0.005
-153.0153108573286 0.0 0.005
-152.9322256422222 0.0 0.005
-152.84914042711577 0.0 0.005
-152.76605521200938 0.0 0.005
-152.68296999690298 0.0 0.005
-152.59988478179656 0.0 0.005
-152.51679956669017 0.0 0.005
-152.43371435158377 0.0 0.005
-152.35062913647735 0.0 0.005
-152.26754392137096 0.0 0.005
-152.18445870626456 0.0 0.005
-152.10137349115814 0.0 0.005
-152.01828827605175 0.0 0.005
-151.93520306094535 0.0 0.005
-151.85211784583893 0.0 0.005
-151.76903263073254 0.0 0.005
-151.68594741562612 0.0 0.005
-151.60286220051972 0.0 0.005
-151.51977698541333 0.0 0.005
-151.4366917703069 0.0 0.005
-151.3536065552005 0.0 0.005
-151.27052134009412 0.0 0.005
-151.1874361249877 0.0 0.005
-151.1043509098813 0.0 0.005
-151.0212656947749 0.0 0.005
-150.9381804796685 0.0 0.005
-150.8550952645621 0.0 0.005
-150.77201004945567 0.0 0.005
-150.68892483434928 0.0 0.005
-150.6058396192429 0.0 0.005
-150.52275440413646 0.0 0.005
-150.43966918903007 0.0 0.005
-150.35658397392368 0.0 0.005
-150.27349875881725 0.0 0.005
-150.19041354371086 0.0 0.005
-150.10732832860447 0.0 0.005
-150.02424311349804 0.0 0.005
-149.94115789839165 0.0 0.005
-149.85807268328526 0.0 0.005
-149.77498746817884 0.0 0.005
-149.69190225307244 0.0 0.005
-149.60881703796602 0.0 0.005
-149.52573182285963 0.0 0.005
-149.44264660775323 0.0 0.005
-149.3595613926468 0.0 0.005
-149.27647617754042 0.0 0.005
-149.19339096243402 0.0 0.005
-149.1103057473276 0.0 0.005
-149.0272205322212 0.0 0.005
-148.9441353171148 0.0 0.005
-148.8610501020084 0.0 0.005
-148.777964886902 0.0 0.005
-148.69487967179558 0.0 0.005
-148.61179445668918 0.0 0.005
-148.5287092415828 0.0 0.005
-148.44562402647637 0.0 0.005
-148.36253881136997 0.0 0.005
-148.27945359626358 0.0 0.005
-148.19636838115716 0.0 0.005
-148.11328316605076 0.0 0.005
-148.03019795094437 0.0 0.005
-147.94711273583795 0.0 0.005
-147.86402752073155 0.0 0.005
-147.78094230562516 0.0 0.005
-147.69785709051874 0.0 0.005
-147.61477187541234 0.0 0.005
-147.53168666030592 0.0 0.005
-147.44860144519953 0.0 0.005
-147.36551623009314 0.0 0.005
-147.2824310149867 0.0 0.005
-147.19934579988032 0.0 0.005
-147.11626058477393 0.0 0.005
-147.0331753696675 0.0 0.005
-146.9500901545611 0.0 0.005
-146.86700493945472 0.0 0.005
-146.7839197243483 0.0 0.005
-146.7008345092419 0.0 0.005
-146.61774929413548 0.0 0.005
-146.53466407902908 0.0 0.005
-146.4515788639227 0.0 0.005
-146.36849364881627 0.0 0.005
-146.28540843370988 0.0 0.005
-146.20232321860348 0.0 0.005
-146.11923800349706 0.0 0.005
-146.03615278839067 0.0 0.005
-145.95306757328427 0.0 0.005
-145.86998235817785 0.0 0.005
-145.78689714307146 0.0 0.005
-145.70381192796506 0.0 0.005
-145.62072671285864 0.0 0.005
-145.53764149775225 0.0 0.005
-145.45455628264583 0.0 0.005
-145.37147106753943 0.0 0.005
-145.28838585243304 0.0 0.005
-145.20530063732662 0.0 0.005
-145.12221542222022 0.0 0.005
-145.03913020711383 0.0 0.005
-144.9560449920074 0.0 0.005
-144.872959776901 0.0 0.005
-144.78987456179462 0.0 0.005
-144.7067893466882 0.0 0.005
-144.6237041315818 0.0 0.005
-144.5406189164754 0.0 0.005
-144.457533701369 0.0 0.005
-144.3744484862626 0.0 0.005
-144.29136327115617 0.0 0.005
-144.20827805604978 0.0 0.005
-144.12519284094338 0.0 0.005
-144.04210762583696 0.0 0.005
-143.95902241073057 0.0 0.005
-143.87593719562418 0.0 0.005
-143.79285198051775 0.0 0.005
-143.70976676541136 0.0 0.005
-143.62668155030497 0.0 0.005
-143.54359633519854 0.0 0.005
-143.46051112009215 0.0 0.005
-143.37742590498573 0.0 0.005
-143.29434068987933 0.0 0.005
-143.21125547477294 0.0 0.005
-143.12817025966652 0.0 0.005
-143.04508504456012 0.0 0.005
-142.96199982945373 0.0 0.005
-142.8789146143473 0.0 0.005
-142.79582939924092 0.0 0.005
-142.71274418413452 0.0 0.005
-142.6296589690281 0.0 0.005
-142.5465737539217 0.0 0.005
-142.4634885388153 0.0 0.005
-142.3804033237089 0.0 0.005
-142.2973181086025 0.0 0.005
-142.21423289349607 0.0 0.005
-142.13114767838968 0.0 0.005
-142.0480624632833 0.0 0.005
-141.96497724817687 0.0 0.005
-141.88189203307047 0.0 0.005
-141.79880681796408 0.0 0.005
-141.71572160285766 0.0 0.005
-141.63263638775126 0.0 0.005
-141.54955117264487 0.0 0.005
-141.46646595753845 0.0 0.005
-141.38338074243205 0.0 0.005
-141.30029552732563 0.0 0.005
-141.21721031221924 0.0 0.005
-141.13412509711284 0.0 0.005
-141.05103988200642 0.0 0.005
-140.96795466690003 0.0 0.005
-140.88486945179363 0.0 0.005
-140.8017842366872 0.0 0.005
-140.71869902158082 0.0 0.005
-140.63561380647442 0.0 0.005
-140.552528591368 0.0 0.005
-140.4694433762616 0.0 0.005
-140.38635816115521 0.0 0.005
-140.3032729460488 0.0 0.005
-140.2201877309424 0.0 0.005
-140.13710251583598 0.0 0.005
-140.05401730072958 0.0 0.005
-139.9709320856232 0.0 0.005
-139.88784687051677 0.0 0.005
-139.80476165541037 0.0 0.005
-139.72167644030398 0.0 0.005
-139.63859122519756 0.0 0.005
-139.55550601009116 0.0 0.005
-139.47242079498477 0.0 0.005
-139.38933557987835 0.0 0.005
-139.30625036477196 0.0 0.005
-139.22316514966553 0.0 0.005
-139.14007993455914 0.0 0.005
-139.05699471945275 0.0 0.005
-138.97390950434632 0.0 0.005
-138.89082428923993 0.0 0.005
-138.80773907413354 0.0 0.005
-138.72465385902711 0.0 0.005
-138.64156864392072 0.0 0.005
-138.55848342881433 0.0 0.005
-138.4753982137079 0.0 0.005
-138.3923129986015 0.0 0.005
-138.30922778349512 0.0 0.005
-138.2261425683887 0.0 0.005
-138.1430573532823 0.0 0.005
-138.05997213817588 0.0 0.005
-137.9768869230695 0.0 0.005
-137.8938017079631 0.0 0.005
-137.81071649285667 0.0 0.005
-137.72763127775028 0.0 0.005
-137.64454606264388 0.0 0.005
-137.56146084753746 0.0 0.005
-137.47837563243107 0.0 0.005
-137.39529041732467 0.0 0.005
-137.31220520221825 0.0 0.005
-137.22911998711186 0.0 0.005
-137.14603477200544 0.0 0.005
-137.06294955689904 0.0 0.005
-136.97986434179265 0.0 0.005
-136.89677912668623 0.0 0.005
-136.81369391157983 0.0 0.005
-136.73060869647344 0.0 0.005
